Make,Model/Variant,Series,Year Range,Year_From,Year_To,Engine/Trim,Fuel,Source,Source_Code,Neuton_PN,Year_OpenEnded,Year_To_Num,Year_From_Num,Product_URL
FIAT,"Ritmo - 1.4, 1.9",,2008-on,2008,on,,,SuperCharge 2019 Guide,MF55H,K55530,Y,9999,2008,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55530
FIAT,"Super Brava - MkII, MkIII",,1981-85,1981,1985,,,SuperCharge 2019 Guide,MF50,K85EFR550,,1985,1981,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k85efr550
FIAT,Uno,,1983-on,1983,on,,,SuperCharge 2019 Guide,MF55,K55519,Y,9999,1983,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55519
FORD,Anglia,,1960-1967,1960,1967,,,SuperCharge 2019 Guide,MF43,43,,1967,1960,nan
FORD,Bronco,,1981-89,1981,1989,,,SuperCharge 2019 Guide,MF52,K85L620S,,1989,1981,nan
FORD,Capri,,1989-92,1989,1992,,,SuperCharge 2019 Guide,MF40B20ZAL,,,1992,1989,nan
FORD,Capri,,1992-94,1992,1994,,,SuperCharge 2019 Guide,MF52,K85L620S,,1994,1992,nan
FORD,Corsair,,1989-91,1989,1991,,,SuperCharge 2019 Guide,MF52,K85L620S,,1991,1989,nan
FORD,Cortina 4 Cycl,,1962-74,1962,1974,,,SuperCharge 2019 Guide,MF43,43,,1974,1962,nan
FORD,"Cortina 4 Cycl, 6 Cycl",,1975-82,1975,1982,,,SuperCharge 2019 Guide,MF51,K85DFL550,,1982,1975,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k85dfl550
FORD,Cougar,,2000-on,2000,on,,,SuperCharge 2019 Guide,MF66,K56318,Y,9999,2000,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56318
FORD,Courier Crew Cab (Diesel),,1986-94,1986,1994,,,SuperCharge 2019 Guide,MF95D31R,K95D31RS,,1994,1986,nan
FORD,Courier Crew Cab (Petrol),,1986-94,1986,1994,,,SuperCharge 2019 Guide,MF75D23L,K55D23LX,,1994,1986,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55d23lx
FORD,Courier Crew Cab (Petrol),,1995-on,1995,on,,,SuperCharge 2019 Guide,MF75D23L,K55D23LX,Y,9999,1995,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55d23lx
FORD,"Courier - PE, PG, PH Diesel",,1998-on,1998,on,,,SuperCharge 2019 Guide,MF95D31R,K95D31RS,Y,9999,1998,nan
FORD,"Courier - PE, PG, PH Petrol",,1998-on,1998,on,,,SuperCharge 2019 Guide,MF75D23R,,Y,9999,1998,nan
FORD,Courier Twin Cab,,1999-on,1999,on,,,SuperCharge 2019 Guide,MF95D31L,K95D31LS,Y,9999,1999,nan
FORD,Courier XL,,2003-on,2003,on,,,SuperCharge 2019 Guide,MF75D23R,,Y,9999,2003,nan
FORD,Courier V6 Petrol,,2005-on,2005,on,,,SuperCharge 2019 Guide,MF55,K55519,Y,9999,2005,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55519
FORD,Courier V6 4.0L (South Africa),,2005-on,2005,on,,,SuperCharge 2019 Guide,MF55,K55519,Y,9999,2005,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55519
FORD,Courier - 2.6L (Japan),,1991-99,1991,1999,,,SuperCharge 2019 Guide,MF50,K85EFR550,,1999,1991,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k85efr550
FORD,Econovan JG Petrol,,1997-98,1997,1998,,,SuperCharge 2019 Guide,MF40B20L,,,1998,1997,nan
FORD,Econovan Maxi,,1997-98,1997,1998,,,SuperCharge 2019 Guide,MF40B20ZAL,,,1998,1997,nan
FORD,Econovan Maxi (Diesel),,1985-87,1985,1987,,,SuperCharge 2019 Guide,MF95D31R,K95D31RS,,1987,1985,nan
FORD,Econovan Maxi (Petrol),,1985-92,1985,1992,,,SuperCharge 2019 Guide,MF40B20L,,,1992,1985,nan
FORD,Econovan Maxi (Petrol),,2003-06,2003,2006,,,SuperCharge 2019 Guide,MF75D23L,K55D23LX,,2006,2003,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55d23lx
FORD,Ecosport,,2013-on,2013,on,,,SuperCharge 2019 Guide,MF44,K54317,Y,9999,2013,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k54317
FORD,Endura,,2018-on,2018,on,,,SuperCharge 2019 Guide,MF77HSS,VRL480,Y,9999,2018,https://www.thebatterypeople.com.au/product-page/vrl480-ln4-agm
FORD,Escape,,2001-06,2001,2006,,,SuperCharge 2019 Guide,MF80D26L,,,2006,2001,nan
FORD,Escape XLT,,2006-on,2006,on,,,SuperCharge 2019 Guide,MF75D23L,K55D23LX,Y,9999,2006,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55d23lx
FORD,Escort,,1975-79,1975,1979,,,SuperCharge 2019 Guide,MF51,K85DFL550,,1979,1975,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k85dfl550
FORD,Everest,,2015-on,2015,on,,,SuperCharge 2019 Guide,MF77,K57539,Y,9999,2015,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k57539
FORD,Expedition,,1998-on,1998,on,,,SuperCharge 2019 Guide,MF66,K56318,Y,9999,1998,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56318
FORD,Explorer,,1996-on,1996,on,,,SuperCharge 2019 Guide,MF65,K65D,Y,9999,1996,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k65d
FORD,"F100, F150, F250, F350",,1974-94,1974,1994,,,SuperCharge 2019 Guide,MF52,K85L620S,,1994,1974,nan
FORD,"F250, F350 Diesel (2 X BATTERIES)",,2001-07,2001,2007,,,SuperCharge 2019 Guide,MF65,K65D,,2007,2001,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k65d
FORD,"Falcon, Fairlane, LTD (XK-EA)",,1961-91,1961,1991,,,SuperCharge 2019 Guide,MF52,K85L620S,,1991,1961,nan
FORD,"Falcon, Fairlane, LTD (EB-ED)",,1991-94,1991,1994,,,SuperCharge 2019 Guide,MF51,K85DFL550,,1994,1991,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k85dfl550
FORD,"Falcon, Fairlane, LTD (EF-FG)",,1997-on,1997,on,,,SuperCharge 2019 Guide,MF50,K85EFR550,Y,9999,1997,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k85efr550
FORD,"F6, F6 Typhoon, F6 Tornado",,2005-on,2005,on,,,SuperCharge 2019 Guide,MF50,K85EFR550,Y,9999,2005,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k85efr550
FORD,Festiva - WA,,1991-93,1991,1993,,,SuperCharge 2019 Guide,MF40B20ZAL,,,1993,1991,nan
FORD,Festiva - WB,,1994-96,1994,1996,,,SuperCharge 2019 Guide,MF75D23L,K55D23LX,,1996,1994,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55d23lx
FORD,"Festiva - WD, WF",,1997-on,1997,on,,,SuperCharge 2019 Guide,MF50D20L,K50D20L,Y,9999,1997,nan
FORD,"Fiesta - WP, WQ",,2004-08,2004,2008,,,SuperCharge 2019 Guide,MF44,K54317,,2008,2004,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k54317
FORD,"Fiesta - WS, WT",,2007-12,2007,2012,,,SuperCharge 2019 Guide,MF55,K55519,,2012,2007,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55519
FORD,Fiesta B299 5 Door,,2012-on,2012,on,,,SuperCharge 2019 Guide,MF66,K56318,Y,9999,2012,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56318
FORD,"Focus - 2L, 1.8L, 1.6L",,2002-on,2002,on,,,SuperCharge 2019 Guide,MF55,K55519,Y,9999,2002,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55519
FORD,Focus - ST 170,,2002-on,2002,on,,,SuperCharge 2019 Guide,MF66,K56318,Y,9999,2002,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56318
FORD,"Focus - XR5, ST turbo",,2006-on,2006,on,,,SuperCharge 2019 Guide,MF66,K56318,Y,9999,2006,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56318
FORD,Focus - Diesel,,2007-09,2007,2009,,,SuperCharge 2019 Guide,MF66,K56318,,2009,2007,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56318
FORD,Focus - Diesel,,2009-on,2009,on,,,SuperCharge 2019 Guide,MF77,K57539,Y,9999,2009,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k57539
FORD,GT4 MK3,,All,,,,,SuperCharge 2019 Guide,MF66R,K56319,,,,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56319
FORD,KA,,1999-03,1999,2003,,,SuperCharge 2019 Guide,MF44,K54317,,2003,1999,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k54317
FORD,Kuga,,2012-on,2012,on,,,SuperCharge 2019 Guide,MF77,K57539,Y,9999,2012,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k57539
FORD,Kuga Diesel 2.0DT,,2014-on,2014,on,,,SuperCharge 2019 Guide,MF77HSS,VRL480,Y,9999,2014,https://www.thebatterypeople.com.au/product-page/vrl480-ln4-agm
FORD,Kuga Petrol 1.6T Ambiente Manual,,2013-14,2013,2014,,,SuperCharge 2019 Guide,MF77HSS,VRL480,,2014,2013,https://www.thebatterypeople.com.au/product-page/vrl480-ln4-agm
FORD,Kuga Petrol 1.5T Ambiente EcoBoost,,2014-on,2014,on,,,SuperCharge 2019 Guide,MF66HSS,VRL370,Y,9999,2014,https://www.thebatterypeople.com.au/product-page/vrl370-ln3-agm
FORD,Laser KA-KF,,1981-91,1981,1991,,,SuperCharge 2019 Guide,MF40B20ZAL,,,1991,1981,nan
FORD,"Laser - KH, KJ, Lynx, Liata",,1991-96,1991,1996,,,SuperCharge 2019 Guide,MF51,K85DFL550,,1996,1991,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k85dfl550
FORD,"Laser - KL, KN, KQ, Liata",,1996-on,1996,on,,,SuperCharge 2019 Guide,MF75D23L,K55D23LX,Y,9999,1996,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55d23lx
FORD,Maverick (Diesel),,1989-93,1989,1993,,,SuperCharge 2019 Guide,MF95D31L,K95D31LS,,1993,1989,nan
FORD,Maverick (Petrol),,1989-93,1989,1993,,,SuperCharge 2019 Guide,MF80D26L,,,1993,1989,nan
FORD,Meteor,,1982-87,1982,1987,,,SuperCharge 2019 Guide,MF40B20ZAL,,,1987,1982,nan
FORD,"Mondeo - 1.8L, 2.0L",,1995-01,1995,2001,,,SuperCharge 2019 Guide,MF55,K55519,,2001,1995,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55519
FORD,Mondeo,,2007-on,2007,on,,,SuperCharge 2019 Guide,MF55,K55519,Y,9999,2007,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55519
FORD,Mondeo - Diesel,,2007-on,2007,on,,,SuperCharge 2019 Guide,MF77,K57539,Y,9999,2007,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k57539
FORD,Mondeo - 2.3L Petrol,,2011-on,2011,on,,,SuperCharge 2019 Guide,MF66,K56318,Y,9999,2011,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56318
FORD,Mondeo - Duratech 2.5L Petrol,,2011-on,2011,on,,,SuperCharge 2019 Guide,MF55,K55519,Y,9999,2011,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55519
FORD,Mustang,,2002-on,2002,on,,,SuperCharge 2019 Guide,MF58,,Y,9999,2002,nan
FORD,Mustang,,2015-on,2015,on,,,SuperCharge 2019 Guide,MF58,,Y,9999,2015,nan
FORD,Probe,,1994-97,1994,1997,,,SuperCharge 2019 Guide,MF58,,,1997,1994,nan
FORD,Puma,,All,,,,,SuperCharge 2019 Guide,MF44,K54317,,,,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k54317
FORD,Raider,,1991-97,1991,1997,,,SuperCharge 2019 Guide,MF51,K85DFL550,,1997,1991,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k85dfl550
FORD,"Ranger - PJ, PK, 2.5L, 3.0L",,2007-11,2007,2011,,,SuperCharge 2019 Guide,MF95D31R,K95D31RS,,2011,2007,nan
FORD,Ranger - PX 3.2L,,2011-on,2011,on,,,SuperCharge 2019 Guide,MF66H,K56638,Y,9999,2011,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56638
FORD,Ranger 2.2DT Manual PX Mkll,,2015-on,2015,on,,,SuperCharge 2019 Guide,MF77HSS,VRL480,Y,9999,2015,https://www.thebatterypeople.com.au/product-page/vrl480-ln4-agm
FORD,Ranger 3.2DT Manual PX MKll,,2015-on,2015,on,,,SuperCharge 2019 Guide,MF77HSS,VRL480,Y,9999,2015,https://www.thebatterypeople.com.au/product-page/vrl480-ln4-agm
FORD,Sierra,,1991-on,1991,on,,,SuperCharge 2019 Guide,MF55,K55519,Y,9999,1991,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55519
FORD,Spectron,,1983-95,1983,1995,,,SuperCharge 2019 Guide,MF40B20L,,,1995,1983,nan
FORD,Taurus,,1996-98,1996,1998,,,SuperCharge 2019 Guide,MF58,,,1998,1996,nan
FORD,Taurus Thunderbird,,1996-98,1996,1998,,,SuperCharge 2019 Guide,MF65,K65D,,1998,1996,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k65d
FORD,Telstar - 4Cyl,,1983-91,1983,1991,,,SuperCharge 2019 Guide,MF40B20ZAL,,,1991,1983,nan
FORD,"Telstar - AX, AY 6Cyl",,1992-on,1992,on,,,SuperCharge 2019 Guide,MF75D23L,K55D23LX,Y,9999,1992,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55d23lx
FORD,Territory - All Models,,2004-on,2004,on,,,SuperCharge 2019 Guide,MF50,K85EFR550,Y,9999,2004,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k85efr550
FORD,Territory Diesel,,2011-on,2011,on,,,SuperCharge 2019 Guide,MF66H,K56638,Y,9999,2011,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56638
FORD,Trader D49,,1997-on,1997,on,,,SuperCharge 2019 Guide,MF80D26R,,Y,9999,1997,nan
FORD,Transit Van 2.05 Ltr. Diesel,,1994-97,1994,1997,,,SuperCharge 2019 Guide,MF58,,,1997,1994,nan
FORD,Transit Van 2.05 Ltr. Diesel/Petrol,,1997-00,1997,2000,,,SuperCharge 2019 Guide,MF55,K55519,,2000,1997,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55519
FORD,Transit Van 4 Cyl,,1991-95,1991,1995,,,SuperCharge 2019 Guide,MF43,43,,1995,1991,nan
FORD,Transit Van Diesel,,2000-on,2000,on,,,SuperCharge 2019 Guide,MF66,K56318,Y,9999,2000,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56318
1960-1966,Zephyr,,1960-1966,1960,1966,,,SuperCharge 2019 Guide,MF43,43,,1966,1960,nan
FORD PERFORMANCE VEHICLES,"GT, GT-P,  GTP, Pursuit",,2003-on,2003,on,,,SuperCharge 2019 Guide,MF50,K85EFR550,Y,9999,2003,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k85efr550
FORD PERFORMANCE VEHICLES,GTE,,2005-08,2005,2008,,,SuperCharge 2019 Guide,MF50,K85EFR550,,2008,2005,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k85efr550
GREAT WALL,C1,,2011,2011,2011,,,SuperCharge 2019 Guide,MF44,K54317,,2011,2011,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k54317
GREAT WALL,VX1,,2011,2011,2011,,,SuperCharge 2019 Guide,MF44,K54317,,2011,2011,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k54317
GREAT WALL,SA22,,2009,2009,2009,,,SuperCharge 2019 Guide,MF75D23R,,,2009,2009,nan
GREAT WALL,V2,,2010,2010,2010,,,SuperCharge 2019 Guide,MF95D31L,K95D31LS,,2010,2010,nan
GREAT WALL,V24,,2009,2009,2009,,,SuperCharge 2019 Guide,MF75D23L,K55D23LX,,2009,2009,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55d23lx
GREAT WALL,X2 2.0 Diesel,,2010,2010,2010,,,SuperCharge 2019 Guide,MF80D26R,,,2010,2010,nan
GREAT WALL,X24,,2010,2010,2010,,,SuperCharge 2019 Guide,MF80D26R,,,2010,2010,nan
HAVAL,H2,,2015-on,2015,on,,,SuperCharge 2019 Guide,MF55HSS,VRL260,Y,9999,2015,https://www.thebatterypeople.com.au/product-page/vrl260-ln2-agm
HAVAL,H2 Conventional,,2015-on,2015,on,,,SuperCharge 2019 Guide,MF75D23L,K55D23LX,Y,9999,2015,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55d23lx
HAVAL,H6,,2015-on,2015,on,,,SuperCharge 2019 Guide,MF80D26L,,Y,9999,2015,nan
HAVAL,H8,,2015-on,2015,on,,,SuperCharge 2019 Guide,MF77H,K58043,Y,9999,2015,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k58043
HAVAL,H9,,2015-on,2015,on,,,SuperCharge 2019 Guide,MF80D26L,,Y,9999,2015,nan
HOLDEN,Acclaim,,1999-on,1999,on,,,SuperCharge 2019 Guide,MF53,K85L620S,Y,9999,1999,nan
HOLDEN,Acadia,,2018-on,2018,on,,,SuperCharge 2019 Guide,MF77HSS,VRL480,Y,9999,2018,https://www.thebatterypeople.com.au/product-page/vrl480-ln4-agm
HOLDEN,"Adventra AWD - Wagon - VY, VZ",,2004-on,2004,on,,,SuperCharge 2019 Guide,MF53,K85L620S,Y,9999,2004,nan
HOLDEN,Apollo,,1989-92,1989,1992,,,SuperCharge 2019 Guide,MF40B20ZAL,,,1992,1989,nan
HOLDEN,Apollo,,1993-97,1993,1997,,,SuperCharge 2019 Guide,MF75D23L,K55D23LX,,1997,1993,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55d23lx
HOLDEN,Astra,,1984-89,1984,1989,,,SuperCharge 2019 Guide,MF40B20ZAL,,,1989,1984,nan
HOLDEN,Astra,,1994-on,1994,on,,,SuperCharge 2019 Guide,MF66,K56318,Y,9999,1994,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56318
HOLDEN,Astra GTC 1.6L Manual PJ,,2015-on,2015,on,,,SuperCharge 2019 Guide,MF66HSS,VRL370,Y,9999,2015,https://www.thebatterypeople.com.au/product-page/vrl370-ln3-agm
HOLDEN,Astra VXR 2.0L Manual PJ,,2015-on,2015,on,,,SuperCharge 2019 Guide,MF77HSS,VRL480,Y,9999,2015,https://www.thebatterypeople.com.au/product-page/vrl480-ln4-agm
HOLDEN,"Barina - MB, ML, MF, MH",,1985-94,1985,1994,,,SuperCharge 2019 Guide,MF40B20ZAL,,,1994,1985,nan
HOLDEN,Barina - SB,,1994-01,1994,2001,,,SuperCharge 2019 Guide,MF55,K55519,,2001,1994,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55519
HOLDEN,Barina - XC,,2001-05,2001,2005,,,SuperCharge 2019 Guide,MF66,K56318,,2005,2001,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56318
HOLDEN,Barina - TK,,2005-11,2005,2011,,,SuperCharge 2019 Guide,MF50,K85EFR550,,2011,2005,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k85efr550
HOLDEN,Barina,,2011-on,2011,on,,,SuperCharge 2019 Guide,MF55H,K55530,Y,9999,2011,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55530
HOLDEN,"Barina - Spark 1.2L, 1.25L",,2010-on,2010,on,,,SuperCharge 2019 Guide,MF44H,K54437,Y,9999,2010,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k54437
HOLDEN,Calibra,,1991-96,1991,1996,,,SuperCharge 2019 Guide,MF66,K56318,,1996,1991,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56318
HOLDEN,"Camira - SL, SLE, SLX",,1987-89,1987,1989,,,SuperCharge 2019 Guide,MF51,K85DFL550,,1989,1987,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k85dfl550
HOLDEN,"Caprice, Statesman - VQ-VS",,1990-99,1990,1999,,,SuperCharge 2019 Guide,MF50,K85EFR550,,1999,1990,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k85efr550
HOLDEN,"Caprice, Statesman - WH-WL",,1999-06,1999,2006,,,SuperCharge 2019 Guide,MF53,K85L620S,,2006,1999,nan
HOLDEN,"Caprice, Statesman - WM,WN",,1996-on,1996,on,,,SuperCharge 2019 Guide,MF66H,K56638,Y,9999,1996,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56638
HOLDEN,Captiva - Petrol,,2006-11,2006,2011,,,SuperCharge 2019 Guide,MF66HR,K56639,,2011,2006,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56639
HOLDEN,Captiva - Diesel,,2007-11,2007,2011,,,SuperCharge 2019 Guide,MF77HR,,,2011,2007,nan
HOLDEN,Captiva - Petrol Series II 4Cyl,,2011-on,2011,on,,,SuperCharge 2019 Guide,MF66HR,,Y,9999,2011,nan
HOLDEN,Captiva - Petrol Series II 6Cyl,,2011-on,2011,on,,,SuperCharge 2019 Guide,MF66HR,K56639,Y,9999,2011,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56639
HOLDEN,Captiva - Diesel Series II,,2011-on,2011,on,,,SuperCharge 2019 Guide,MF88H,K60044,Y,9999,2011,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k60044
HOLDEN,Captiva Petrol,,2014-on,2014,on,,,SuperCharge 2019 Guide,MF66HR,K56639,Y,9999,2014,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56639
HOLDEN,Cascada 1.6T Convertible,,2015-on,2015,on,,,SuperCharge 2019 Guide,MF66HSS,VRL370,Y,9999,2015,https://www.thebatterypeople.com.au/product-page/vrl370-ln3-agm
HOLDEN,Colorado RC - Diesel,,2008-12,2008,2012,,,SuperCharge 2019 Guide,MF95D31L,K95D31LS,,2012,2008,nan
HOLDEN,Colorado RC - Petrol,,2008-12,2008,2012,,,SuperCharge 2019 Guide,MF80D26R,,,2012,2008,nan
HOLDEN,Colorado RG - Diesel,,2012-on,2012,on,,,SuperCharge 2019 Guide,MF88H,K60044,Y,9999,2012,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k60044
HOLDEN,Combo Van,,1996-on,1996,on,,,SuperCharge 2019 Guide,MF66,K56318,Y,9999,1996,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56318
HOLDEN,Commodore - VF,,2013-on,2013,on,,,SuperCharge 2019 Guide,MF66H,K56638,Y,9999,2013,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56638
HOLDEN,"Commodore - VE V6 Sedan, Sportswagon, Statesman (in boot)",,2006-13,2006,2013,,,SuperCharge 2019 Guide,MF66H,K56638,,2013,2006,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56638
HOLDEN,"Commodore - VE V8 Sedan, Sportswagon, Statesman (in boot)",,2006-13,2006,2013,,,SuperCharge 2019 Guide,MF66H,K56638,,2013,2006,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56638
HOLDEN,Commodore - VE V6 Ute (behind passenger seat),,2007-13,2007,2013,,,SuperCharge 2019 Guide,MF55H,K55530,,2013,2007,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55530
HOLDEN,Commodore - VE V8 SS Ute,,2007-13,2007,2013,,,SuperCharge 2019 Guide,MF66H,K56638,,2013,2007,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56638
HOLDEN,"Commodore - VE, VF Police Pack Auxillary Battery",,2006-13,2006,2013,,,SuperCharge 2019 Guide,MF66HSS,VRL370,,2013,2006,https://www.thebatterypeople.com.au/product-page/vrl370-ln3-agm
HOLDEN,"Commodore - VE, VF Extra Heavy-Duty",,2006-13,2006,2013,,,SuperCharge 2019 Guide,MF66HSS,VRL370,,2013,2006,https://www.thebatterypeople.com.au/product-page/vrl370-ln3-agm
HOLDEN,Commodore/Berlina/Calais/Monaro/Statesman  VT-VZ,,1997-06,1997,2006,,,SuperCharge 2019 Guide,MF53,K85L620S,,2006,1997,nan
HOLDEN,Commodore/Berlina/Calais/Statesman VB-VS,,1978-97,1978,1997,,,SuperCharge 2019 Guide,MF50,K85EFR550,,1997,1978,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k85efr550
HOLDEN,Cruze AWD (Japan),,2002-06,2002,2006,,,SuperCharge 2019 Guide,MF40B20L,,,2006,2002,nan
HOLDEN,Cruze - Petrol,,2009-11,2009,2011,,,SuperCharge 2019 Guide,MF55,K55519,,2011,2009,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55519
HOLDEN,Cruze - Diesel,,2009-11,2009,2011,,,SuperCharge 2019 Guide,MF66,K56318,,2011,2009,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k56318
HOLDEN,Cruze - Petrol,,2011-on,2011,on,,,SuperCharge 2019 Guide,MF55H,K55530,Y,9999,2011,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55530
HOLDEN,Cruze - Diesel,,2011-on,2011,on,,,SuperCharge 2019 Guide,MF77HR,,Y,9999,2011,nan
HOLDEN,Epica - Petrol,,2007-11,2007,2011,,,SuperCharge 2019 Guide,MF50,K85EFR550,,2011,2007,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k85efr550
HOLDEN,Epica - Diesel,,2007-11,2007,2011,,,SuperCharge 2019 Guide,MF77HR,,,2011,2007,nan
HOLDEN,Equinox,,2017-on,2017,on,,,SuperCharge 2019 Guide,MF55H,K55530,Y,9999,2017,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k55530
HOLDEN,Frontera - V6,,1999-03,1999,2003,,,SuperCharge 2019 Guide,MF80D26L,,,2003,1999,nan
HOLDEN,Holden All Models (Kingswood etc),,1956-80,1956,1980,,,SuperCharge 2019 Guide,MF50,K85EFR550,,1980,1956,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k85efr550
HOLDEN,Gemini - RB,,1983-87,1983,1987,,,SuperCharge 2019 Guide,MF40B20L,,,1987,1983,nan
HOLDEN,Gemini - Petrol,,1975-83,1975,1983,,,SuperCharge 2019 Guide,MF40B20ZA,,,1983,1975,nan
HOLDEN,Gemini - Diesel,,1979-83,1979,1983,,,SuperCharge 2019 Guide,MF52,K85L620S,,1983,1979,nan
HOLDEN,Insignia,,2015-on,2015,on,,,SuperCharge 2019 Guide,MF66HSS,VRL370,Y,9999,2015,https://www.thebatterypeople.com.au/product-page/vrl370-ln3-agm
HOLDEN,Jackaroo - Diesel,,1981-92,1981,1992,,,SuperCharge 2019 Guide,MF95D31R,K95D31RS,,1992,1981,nan
HOLDEN,Jackaroo - Diesel,,1992-99,1992,1999,,,SuperCharge 2019 Guide,MF80D26R,,,1999,1992,nan
HOLDEN,Jackaroo - Petrol,,1981-91,1981,1991,,,SuperCharge 2019 Guide,MF50,K85EFR550,,1991,1981,https://www.thebatterypeople.com.au/product-page/neuton-power-k-series-k85efr550
HOLDEN,Jackaroo - Petrol,,1991-98,1991,1998,,,SuperCharge 2019 Guide,MF52,K85L620S,,1998,1991,nan
HOLDEN,Jackaroo - Petrol,,1998-04,1998,2004,,,SuperCharge 2019 Guide,MF80D26R,,,2004,1998,nan
